Index,WindCode,Date,Time,FunctionCode,OrderKind,BSFlag,TradePrice,TradeVolume,AskOrder,BidOrder
279,601318.SH,601318,20180716,93000400,0,0,66,583600,400,69192,88667
280,601318.SH,601318,20180716,93000470,0,0,83,583000,1700,89043,82424
281,601318.SH,601318,20180716,93000470,0,0,83,583000,100,89057,82424
282,601318.SH,601318,20180716,93000470,0,0,83,583000,1500,89112,82424
283,601318.SH,601318,20180716,93000540,0,0,83,583200,200,89781,89402
284,601318.SH,601318,20180716,93000540,0,0,83,583000,2200,89781,82424
285,601318.SH,601318,20180716,93000540,0,0,83,583000,200,89781,82705
286,601318.SH,601318,20180716,93000540,0,0,83,583000,3000,89781,84850
287,601318.SH,601318,20180716,93000540,0,0,83,583000,300,89781,84946
288,601318.SH,601318,20180716,93000540,0,0,83,583000,100,89781,85339
289,601318.SH,601318,20180716,93000540,0,0,66,583600,800,69192,89798
290,601318.SH,601318,20180716,93000570,0,0,83,583000,200,89997,85339
291,601318.SH,601318,20180716,93000570,0,0,83,583000,100,89997,85386
292,601318.SH,601318,20180716,93000570,0,0,66,583600,100,69192,90015
293,601318.SH,601318,20180716,93000570,0,0,83,583000,400,90129,85386
294,601318.SH,601318,20180716,93000570,0,0,83,583000,500,90399,85386
295,601318.SH,601318,20180716,93000570,0,0,83,583000,1000,90532,85386
296,601318.SH,601318,20180716,93000620,0,0,66,583600,200,69192,91260
297,601318.SH,601318,20180716,93000620,0,0,83,583000,1900,91309,85386
298,601318.SH,601318,20180716,93000620,0,0,83,583000,600,91392,85386
299,601318.SH,601318,20180716,93000680,0,0,83,583000,100,91640,85386
300,601318.SH,601318,20180716,93000680,0,0,66,583600,100,69192,91712
301,601318.SH,601318,20180716,93000680,0,0,66,583600,200,87751,91712
302,601318.SH,601318,20180716,93000680,0,0,66,584000,3400,59032,92024
303,601318.SH,601318,20180716,93000680,0,0,66,584000,1800,59032,92136
304,601318.SH,601318,20180716,93000770,0,0,83,583600,100,93423,91736
305,601318.SH,601318,20180716,93000770,0,0,83,583000,900,93423,85386
306,601318.SH,601318,20180716,93000810,0,0,83,583000,1300,93805,85386
307,601318.SH,601318,20180716,93000810,0,0,83,583600,300,94295,94228
308,601318.SH,601318,20180716,93000810,0,0,83,583100,500,94295,93949
309,601318.SH,601318,20180716,93000810,0,0,83,583000,3200,94295,85386
310,601318.SH,601318,20180716,93000810,0,0,83,583000,200,94295,85508
311,601318.SH,601318,20180716,93000810,0,0,83,583000,2400,94295,87671
312,601318.SH,601318,20180716,93000860,0,0,83,583000,100,94508,87671
313,601318.SH,601318,20180716,93000860,0,0,66,584000,100,59032,94611
314,601318.SH,601318,20180716,93000860,0,0,66,584000,5300,59032,94834
315,601318.SH,601318,20180716,93000960,0,0,83,583000,2500,96014,87671
316,601318.SH,601318,20180716,93000960,0,0,83,583000,300,96014,89570
317,601318.SH,601318,20180716,93000960,0,0,83,583000,100,96014,90911
318,601318.SH,601318,20180716,93000960,0,0,83,583000,100,96014,91141
319,601318.SH,601318,20180716,93000990,0,0,83,583000,100,96473,91141
320,601318.SH,601318,20180716,93000990,0,0,83,583000,200,96473,92001
321,601318.SH,601318,20180716,93000990,0,0,83,583000,500,96473,92238
322,601318.SH,601318,20180716,93000990,0,0,83,583000,200,96473,92857
323,601318.SH,601318,20180716,93000990,0,0,83,583000,100,96473,93386
324,601318.SH,601318,20180716,93000990,0,0,83,583000,500,96473,93504
325,601318.SH,601318,20180716,93000990,0,0,83,583000,1200,96473,94206
326,601318.SH,601318,20180716,93001040,0,0,66,583000,100,96473,96798
327,601318.SH,601318,20180716,93001040,0,0,66,583000,400,96473,96833
328,601318.SH,601318,20180716,93001040,0,0,66,583000,500,96473,97145
329,601318.SH,601318,20180716,93001040,0,0,83,582900,200,97166,75343
330,601318.SH,601318,20180716,93001040,0,0,83,582900,300,97166,91542
331,601318.SH,601318,20180716,93001040,0,0,83,582800,100,97166,8878
332,601318.SH,601318,20180716,93001040,0,0,83,582800,100,97166,61600
333,601318.SH,601318,20180716,93001040,0,0,83,582800,100,97226,61600
334,601318.SH,601318,20180716,93001040,0,0,83,582800,100,97226,72361
335,601318.SH,601318,20180716,93001040,0,0,83,582800,700,97226,78663
336,601318.SH,601318,20180716,93001040,0,0,83,582800,100,97442,78663
337,601318.SH,601318,20180716,93001040,0,0,83,582800,200,97544,81437
338,601318.SH,601318,20180716,93001040,0,0,83,582700,100,97544,54997
339,601318.SH,601318,20180716,93001090,0,0,66,583000,700,96473,98041
340,601318.SH,601318,20180716,93001140,0,0,66,583000,100,96473,98132
341,601318.SH,601318,20180716,93001140,0,0,66,583000,300,96473,98140
342,601318.SH,601318,20180716,93001180,0,0,66,583000,100,96473,98542
343,601318.SH,601318,20180716,93001180,0,0,66,583000,200,96473,98644
344,601318.SH,601318,20180716,93001180,0,0,66,583000,4200,96473,98672
345,601318.SH,601318,20180716,93001180,0,0,66,583000,600,96473,99037
346,601318.SH,601318,20180716,93001180,0,0,66,583000,400,97318,99037
347,601318.SH,601318,20180716,93001220,0,0,66,583000,100,97446,99159
348,601318.SH,601318,20180716,93001220,0,0,66,583000,100,98473,99159
349,601318.SH,601318,20180716,93001220,0,0,66,583000,200,98520,99159
350,601318.SH,601318,20180716,93001220,0,0,66,583000,400,98520,99239
351,601318.SH,601318,20180716,93001220,0,0,66,583500,1100,96070,99336
352,601318.SH,601318,20180716,93001220,0,0,66,583600,300,98130,99336
353,601318.SH,601318,20180716,93001220,0,0,66,583800,300,97375,99336
354,601318.SH,601318,20180716,93001270,0,0,83,583600,100,99911,99770
355,601318.SH,601318,20180716,93001270,0,0,83,583600,300,99921,99770
356,601318.SH,601318,20180716,93001270,0,0,83,583000,600,99921,99239
357,601318.SH,601318,20180716,93001270,0,0,83,583000,100,99921,99681
358,601318.SH,601318,20180716,93001270,0,0,66,583000,400,99921,99941
359,601318.SH,601318,20180716,93001270,0,0,66,583000,800,99921,99999
360,601318.SH,601318,20180716,93001320,0,0,66,583000,10200,99921,100137
361,601318.SH,601318,20180716,93001320,0,0,66,583000,100,99921,100537
362,601318.SH,601318,20180716,93001430,0,0,83,582700,300,101838,54997
363,601318.SH,601318,20180716,93001430,0,0,66,583000,300,99921,102010
364,601318.SH,601318,20180716,93001480,0,0,66,583000,200,99921,102419
365,601318.SH,601318,20180716,93001520,0,0,66,583000,500,99921,102625
366,601318.SH,601318,20180716,93001520,0,0,66,583000,2300,99921,102659
367,601318.SH,601318,20180716,93001520,0,0,66,583000,1300,99921,102694
368,601318.SH,601318,20180716,93001550,0,0,83,582700,200,103027,54997
369,601318.SH,601318,20180716,93001550,0,0,66,583000,600,99921,103089
370,601318.SH,601318,20180716,93001550,0,0,66,583000,200,99921,103139
371,601318.SH,601318,20180716,93001550,0,0,66,582900,200,103206,103289
372,601318.SH,601318,20180716,93001700,0,0,66,582900,1500,103206,104408
373,601318.SH,601318,20180716,93001730,0,0,66,583000,200,99921,104575
374,601318.SH,601318,20180716,93001760,0,0,66,583000,1900,99921,104901
375,601318.SH,601318,20180716,93001760,0,0,66,583000,200,100491,104901
376,601318.SH,601318,20180716,93001760,0,0,66,583000,1000,101514,104901
377,601318.SH,601318,20180716,93001760,0,0,66,583000,300,102160,104901
378,601318.SH,601318,20180716,93001760,0,0,66,583000,1600,102988,104901
379,601318.SH,601318,20180716,93001830,0,0,66,583000,100,102988,105247
380,601318.SH,601318,20180716,93002080,0,0,66,583000,300,102988,106638
